Age,Industry_grouped,JobTitle_grouped,Salary,AdditionalComp,Country_cleaned,ExperienceOverall,ExperienceField,Education,Gender,Race
35-44,Tech,Executive,107000.0,,United Kingdom,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Engineering & Manufacturing,Engineering & IT,100000.0,0.0,United States,5-7 years,5-7 years,Master's degree,Woman,White
35-44,Consulting,Marketing & Communications,73116.0,10800.0,Germany,11 - 20 years,11 - 20 years,Master's degree,Man,White
45-54,Retail,Executive,29000.0,,United States,21 - 30 years,11 - 20 years,College degree,Woman,White
25-34,Tech,Management,66500.0,,United States,5-7 years,2 - 4 years,College degree,Man,White
45-54,Construction & Real Estate,Management,65000.0,0.0,United States,11 - 20 years,2 - 4 years,Master's degree,Man,White
25-34,Tech,Engineering & IT,74000.0,0.0,United States,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Tech,Management,86400.0,8640.0,Netherlands,8 - 10 years,8 - 10 years,College degree,Man,"Hispanic, Latino, or Spanish origin"
25-34,Education,Administrative,37740.0,,Canada,5-7 years,5-7 years,College degree,Woman,White
25-34,Government,Management,52500.0,0.0,United Kingdom,11 - 20 years,8 - 10 years,College degree,Man,White
35-44,Finance,Management,103000.0,,United States,11 - 20 years,11 - 20 years,College degree,Man,White
55-64,Tech,Sales,34040.0,,Canada,41 years or more,41 years or more,College degree,Woman,White
25-34,Education,Management,37500.0,,United States,8 - 10 years,5-7 years,Master's degree,Woman,White
35-44,Education,Education & Training,66000.0,0.0,United States,5-7 years,11 - 20 years,PhD,Man,
25-34,Logistics,Strategist,33750.0,0.0,United Kingdom,5-7 years,2 - 4 years,Master's degree,Woman,White
25-34,Engineering & Manufacturing,Strategist,75000.0,5000.0,United States,5-7 years,5-7 years,College degree,Man,White
25-34,Tech,Engineering & IT,102600.0,0.0,Ireland,8 - 10 years,8 - 10 years,Some college,Woman,White
25-34,Tech,Management,180000.0,100000.0,United States,8 - 10 years,8 - 10 years,College degree,Woman,"Asian or Asian American, White"
45-54,Other,Management,106000.0,10600.0,United States,21 - 30 years,21 - 30 years,Some college,Man,White
25-34,Finance,Marketing & Communications,55000.0,9000.0,United States,11 - 20 years,5-7 years,College degree,Man,"Asian or Asian American, White"
45-54,Legal,Management,120000.0,5000.0,United States,21 - 30 years,21 - 30 years,Some college,Woman,White
25-34,Marketing,Data & Analytics,33300.0,0.0,Canada,8 - 10 years,2 - 4 years,College degree,Man,White
25-34,Art & Design,Healthcare,80000.0,1000.0,United States,8 - 10 years,5-7 years,Master's degree,Woman,White
25-34,Tech,Data & Analytics,47840.0,0.0,United States,11 - 20 years,2 - 4 years,College degree,Woman,White
25-34,Education,Executive,54000.0,,United States,8 - 10 years,8 - 10 years,College degree,Man,White
35-44,Other,Executive,59000.0,,United States,11 - 20 years,11 - 20 years,Some college,Woman,
35-44,Tech,Engineering & IT,66600.0,,Canada,11 - 20 years,2 - 4 years,College degree,Other or prefer not to answer,White
25-34,Education,Management,48500.0,0.0,United States,2 - 4 years,1 year or less,College degree,Man,White
25-34,Tech,Management,70000.0,,United States,8 - 10 years,5-7 years,Master's degree,Woman,White
35-44,Marketing,Management,80000.0,5000.0,United States,21 - 30 years,5-7 years,College degree,Woman,Black or African American
35-44,Finance,Management,131250.0,,United Kingdom,21 - 30 years,8 - 10 years,College degree,Man,White
25-34,Tech,Executive,96000.0,,United States,8 - 10 years,8 - 10 years,Master's degree,Man,White
25-34,Tech,Engineering & IT,142000.0,15000.0,United States,5-7 years,5-7 years,Master's degree,Man,White
18-24,Marketing,Executive,35625.0,0.0,United Kingdom,2 - 4 years,2 - 4 years,College degree,Man,White
35-44,Engineering & Manufacturing,Executive,62500.0,0.0,United Kingdom,11 - 20 years,8 - 10 years,College degree,Man,White
45-54,Media & Entertainment,Executive,54000.0,0.0,Germany,8 - 10 years,5-7 years,Master's degree,Man,White
18-24,Finance,Finance & Accounting,37250.0,750.0,United States,2 - 4 years,1 year or less,College degree,Woman,White
25-34,Education,Consulting,48750.0,0.0,United States,5-7 years,5-7 years,Master's degree,Woman,Black or African American
25-34,Tech,Management,68080.0,14800.0,Canada,8 - 10 years,8 - 10 years,College degree,Man,White
35-44,Tech,Engineering & IT,115000.0,0.0,United States,11 - 20 years,5-7 years,Master's degree,Man,White
25-34,Government,Education & Training,62900.0,0.0,Canada,8 - 10 years,11 - 20 years,Master's degree,Woman,White
25-34,Tech,Engineering & IT,70000.0,2000.0,United States,2 - 4 years,2 - 4 years,College degree,Man,White
25-34,Finance,Management,75000.0,0.0,United States,8 - 10 years,8 - 10 years,College degree,Woman,White
45-54,Healthcare,Other,30475.0,10000.0,United States,21 - 30 years,2 - 4 years,College degree,Woman,White
55-64,Tech,Management,42848.0,750.0,United States,31 - 40 years,11 - 20 years,College degree,Woman,White
35-44,Tech,Marketing & Communications,81000.0,,Germany,11 - 20 years,11 - 20 years,College degree,Man,"Hispanic, Latino, or Spanish origin"
35-44,Consulting,Administrative,180000.0,35000.0,United States,8 - 10 years,2 - 4 years,PhD,Man,White
25-34,Education,Management,48300.0,0.0,United States,2 - 4 years,2 - 4 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
25-34,Government,Other,35000.0,0.0,United States,11 - 20 years,2 - 4 years,Some college,Man,White
25-34,Healthcare,Engineering & IT,38230.0,38230.0,United States,11 - 20 years,2 - 4 years,College degree,Man,White
35-44,Education,Management,52500.0,1875.0,United Kingdom,8 - 10 years,8 - 10 years,PhD,Woman,White
35-44,Marketing,Executive,36556.0,29600.0,Canada,21 - 30 years,11 - 20 years,High School,Man,White
35-44,Consulting,Management,230000.0,0.0,United States,21 - 30 years,5-7 years,College degree,Man,White
35-44,Tech,Management,120000.0,7000.0,United States,21 - 30 years,2 - 4 years,Master's degree,Woman,White
25-34,Tech,Engineering & IT,110000.0,0.0,United States,2 - 4 years,2 - 4 years,Some college,Man,White
25-34,Tech,Management,155000.0,,United States,5-7 years,5-7 years,Master's degree,Man,White
35-44,Government,Engineering & IT,39960.0,0.0,Canada,21 - 30 years,5-7 years,College degree,Woman,White
18-24,Marketing,Executive,28750.0,,United Kingdom,2 - 4 years,2 - 4 years,College degree,Man,Another option not listed here or prefer not to answer
25-34,Tech,Management,118000.0,0.0,United States,5-7 years,2 - 4 years,College degree,Woman,White
35-44,Tech,Management,200000.0,,United States,11 - 20 years,11 - 20 years,College degree,Man,White
35-44,Education,Administrative,38480.0,0.0,Canada,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Consulting,Marketing & Communications,145000.0,30000.0,United States,11 - 20 years,11 - 20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
45-54,Tech,Management,54500.0,400.0,United States,21 - 30 years,11 - 20 years,Some college,Man,White
45-54,Tech,Engineering & IT,100000.0,,United States,21 - 30 years,11 - 20 years,College degree,Woman,White
35-44,Engineering & Manufacturing,Executive,105000.0,27000.0,United States,2 - 4 years,2 - 4 years,PhD,Man,White
35-44,Legal,Project & Program Management,160000.0,30000.0,United States,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Man,White
18-24,Retail,Management,20009.6,370.0,Canada,1 year or less,1 year or less,Some college,Woman,White
25-34,Tech,Management,129260.0,10000.0,United States,2 - 4 years,2 - 4 years,College degree,Man,White
25-34,Tech,Engineering & IT,67500.0,12000.0,United States,5-7 years,5-7 years,College degree,Man,White
35-44,Tech,Data & Analytics,80000.0,1000.0,United States,11 - 20 years,11 - 20 years,Some college,Man,"Black or African American, White"
55-64,Education,Education & Training,165000.0,7000.0,United States,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Black or African American
35-44,Education,Executive,130000.0,,United States,11 - 20 years,8 - 10 years,Master's degree,Woman,White
25-34,Tech,Management,57500.0,,United States,5-7 years,5-7 years,College degree,Woman,White
25-34,Education,Education & Training,43000.0,1500.0,United States,2 - 4 years,2 - 4 years,Master's degree,Woman,White
35-44,Marketing,Executive,110000.0,17000.0,United States,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Tech,Engineering & IT,58000.0,0.0,United States,5-7 years,5-7 years,College degree,Man,White
35-44,Art & Design,Management,93750.0,,United Kingdom,11 - 20 years,11 - 20 years,College degree,Man,White
25-34,Education,Legal,52000.0,,United States,2 - 4 years,1 year or less,College degree,Woman,White
25-34,Tech,Executive,85000.0,0.0,United States,8 - 10 years,8 - 10 years,Master's degree,Woman,White
45-54,Tech,Executive,288000.0,85000.0,Malaysia,21 - 30 years,5-7 years,College degree,Woman,Asian or Asian American
18-24,Tech,Engineering & IT,105000.0,0.0,United States,2 - 4 years,2 - 4 years,College degree,Non-binary,Asian or Asian American
25-34,Healthcare,Data & Analytics,100000.0,15000.0,United States,5-7 years,5-7 years,College degree,Man,"Hispanic, Latino, or Spanish origin, White"
35-44,Construction & Real Estate,Management,33750.0,0.0,United Kingdom,11 - 20 years,5-7 years,Master's degree,Woman,White
25-34,Tech,Engineering & IT,166560.0,23000.0,United States,11 - 20 years,11 - 20 years,College degree,Man,White
18-24,Consulting,Data & Analytics,85000.0,,United States,2 - 4 years,2 - 4 years,,Woman,"Asian or Asian American, White"
35-44,Marketing,Management,43200.0,,Ireland,21 - 30 years,2 - 4 years,College degree,Woman,White
35-44,Tech,Data & Analytics,190000.0,104000.0,United States,5-7 years,5-7 years,PhD,Non-binary,White
25-34,Logistics,Management,40500.0,20000.0,United States,11 - 20 years,8 - 10 years,College degree,Man,White
35-44,Other,Management,155000.0,90000.0,United States,11 - 20 years,11 - 20 years,Master's degree,Man,White
25-34,Retail,Executive,41288.0,,United States,8 - 10 years,5-7 years,Some college,Woman,Black or African American
25-34,Finance,Management,81250.0,12500.0,United Kingdom,11 - 20 years,11 - 20 years,Master's degree,Man,White
35-44,Healthcare,Healthcare,125000.0,10000.0,United States,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Non-binary,White
35-44,Healthcare,Other,187500.0,0.0,United Kingdom,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Man,Another option not listed here or prefer not to answer
45-54,Government,Management,90000.0,0.0,United States,21 - 30 years,11 - 20 years,Master's degree,Man,Another option not listed here or prefer not to answer
45-54,Tech,Consulting,180000.0,25000.0,United States,21 - 30 years,21 - 30 years,Master's degree,Man,White
25-34,Tech,Management,61900.0,,United States,5-7 years,5-7 years,College degree,Man,"Hispanic, Latino, or Spanish origin"
35-44,Tech,Consulting,37500.0,,United Kingdom,11 - 20 years,2 - 4 years,College degree,Woman,White
35-44,Tech,Marketing & Communications,30000.0,0.0,United Kingdom,11 - 20 years,8 - 10 years,College degree,Man,White
25-34,Tech,Management,50000.0,1500.0,United States,2 - 4 years,1 year or less,Some college,Woman,"Hispanic, Latino, or Spanish origin"
35-44,Finance,Education & Training,58000.0,2000.0,United States,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Tech,Management,37740.0,,Canada,2 - 4 years,2 - 4 years,Master's degree,Woman,White
45-54,Tech,Management,170000.0,50000.0,United States,31 - 40 years,21 - 30 years,College degree,Man,White
25-34,Tech,Executive,210000.0,20000.0,United States,11 - 20 years,11 - 20 years,College degree,Man,White
45-54,Tech,Engineering & IT,90000.0,18750.0,United Kingdom,11 - 20 years,11 - 20 years,Some college,Man,White
25-34,Tech,Management,137500.0,25000.0,United Kingdom,2 - 4 years,2 - 4 years,College degree,Man,Black or African American
25-34,Education,Management,56000.0,0.0,United States,11 - 20 years,5-7 years,Master's degree,Woman,White
25-34,Finance,Marketing & Communications,81000.0,0.0,United States,8 - 10 years,5-7 years,College degree,Woman,Another option not listed here or prefer not to answer
25-34,Tech,Executive,36000.0,2000.0,United States,2 - 4 years,2 - 4 years,High School,Man,"Hispanic, Latino, or Spanish origin, Native American or Alaska Native"
25-34,Nonprofit,Management,58500.0,,United States,11 - 20 years,5-7 years,Some college,Woman,White
25-34,Art & Design,Creative Arts,43000.0,,United States,2 - 4 years,2 - 4 years,College degree,Woman,White
45-54,Tech,Management,220000.0,44000.0,United States,21 - 30 years,21 - 30 years,PhD,Man,White
35-44,Nonprofit,Healthcare,83000.0,0.0,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Government,Executive,87016.25,0.0,United Kingdom,21 - 30 years,11 - 20 years,Master's degree,Woman,White
25-34,Tech,Engineering & IT,50000.0,5000.0,United Kingdom,5-7 years,5-7 years,College degree,Man,White
25-34,Marketing,Marketing & Communications,35625.0,0.0,United Kingdom,2 - 4 years,2 - 4 years,College degree,Man,White
18-24,Finance,Other,41000.0,2000.0,United States,5-7 years,1 year or less,Some college,Woman,White
25-34,Education,Education & Training,335000.0,75000.0,United States,8 - 10 years,8 - 10 years,PhD,Man,White
18-24,Tech,Engineering & IT,85000.0,4000.0,United States,2 - 4 years,2 - 4 years,College degree,Man,White
45-54,Other,Management,72500.0,6250.0,United Kingdom,21 - 30 years,5-7 years,College degree,Woman,White
35-44,Finance,Education & Training,58000.0,2000.0,United States,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Tech,Management,145000.0,40000.0,United States,8 - 10 years,8 - 10 years,Master's degree,Man,Middle Eastern or Northern African
25-34,Marketing,Management,160000.0,3500.0,United States,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Healthcare,Marketing & Communications,84000.0,5000.0,United States,8 - 10 years,5-7 years,College degree,Woman,White
35-44,Media & Entertainment,Data & Analytics,46000.0,1000.0,United States,11 - 20 years,11 - 20 years,College degree,Man,White
35-44,Legal,Administrative,70000.0,0.0,United States,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Tech,Engineering & IT,140000.0,130000.0,United States,5-7 years,2 - 4 years,College degree,Woman,White
25-34,Tech,Management,121360.0,10382.0,United States,5-7 years,5-7 years,College degree,Woman,White
35-44,Tech,Engineering & IT,60000.0,0.0,United States,11 - 20 years,11 - 20 years,College degree,Man,White
25-34,Tech,Executive,33750.0,0.0,United Kingdom,8 - 10 years,5-7 years,College degree,Woman,White
25-34,Healthcare,Management,45000.0,0.0,United States,8 - 10 years,8 - 10 years,College degree,Woman,White
35-44,Tech,Executive,86250.0,12500.0,United Kingdom,11 - 20 years,2 - 4 years,College degree,Woman,White
45-54,Retail,Strategist,36250.0,0.0,United Kingdom,31 - 40 years,11 - 20 years,College degree,Non-binary,White
35-44,Engineering & Manufacturing,Engineering & IT,61375.0,3750.0,United Kingdom,11 - 20 years,11 - 20 years,College degree,Man,White
25-34,Tech,Administrative,85400.0,0.0,United States,5-7 years,2 - 4 years,College degree,Woman,White
35-44,Engineering & Manufacturing,Management,57875.0,0.0,United Kingdom,21 - 30 years,21 - 30 years,College degree,Man,White
35-44,Tech,Management,120000.0,,Germany,11 - 20 years,8 - 10 years,Master's degree,Man,Asian or Asian American
35-44,Tech,Management,125000.0,15000.0,United Kingdom,21 - 30 years,11 - 20 years,College degree,Man,White
45-54,Retail,Data & Analytics,31250.0,,United Kingdom,21 - 30 years,11 - 20 years,Some college,Man,White
25-34,Healthcare,Healthcare,43200.0,3780.0000000000005,Germany,2 - 4 years,2 - 4 years,Master's degree,Woman,Another option not listed here or prefer not to answer
25-34,Engineering & Manufacturing,Management,110000.0,,United States,5-7 years,5-7 years,Master's degree,Man,Asian or Asian American
35-44,Education,Education & Training,50000.0,,United States,5-7 years,5-7 years,Master's degree,Man,White
35-44,Education,Engineering & IT,42500.0,,United Kingdom,21 - 30 years,2 - 4 years,Master's degree,Man,White
45-54,Marketing,Executive,180000.0,60000.0,United States,21 - 30 years,21 - 30 years,College degree,Man,White
35-44,Healthcare,Healthcare,75000.0,0.0,United States,11 - 20 years,11 - 20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Tech,Engineering & IT,105000.0,,United States,2 - 4 years,2 - 4 years,College degree,Woman,White
55-64,Other,Engineering & IT,29375.0,,United Kingdom,31 - 40 years,2 - 4 years,College degree,Man,White
25-34,Tech,Engineering & IT,109236.0,10000.0,United States,2 - 4 years,2 - 4 years,College degree,Man,White
55-64,Tech,Executive,123000.0,15000.0,United States,31 - 40 years,21 - 30 years,Master's degree,Woman,White
25-34,Tech,Marketing & Communications,62000.0,,Australia,5-7 years,2 - 4 years,College degree,Woman,White
35-44,Tech,Engineering & IT,170000.0,105000.0,United States,11 - 20 years,11 - 20 years,College degree,Man,Asian or Asian American
45-54,Engineering & Manufacturing,Management,152000.0,3500.0,United States,31 - 40 years,31 - 40 years,High School,Man,White
45-54,Other,Administrative,27500.0,0.0,United Kingdom,21 - 30 years,11 - 20 years,College degree,Woman,White
18-24,Construction & Real Estate,Administrative,37000.0,,United States,5-7 years,1 year or less,College degree,Woman,White
25-34,Marketing,Management,65000.0,0.0,United States,2 - 4 years,2 - 4 years,College degree,,"White, Another option not listed here or prefer not to answer"
35-44,Consulting,Management,73000.0,0.0,United States,11 - 20 years,11 - 20 years,Master's degree,Man,White
25-34,Tech,Marketing & Communications,55980.0,0.0,United Kingdom,8 - 10 years,2 - 4 years,College degree,Woman,White
35-44,Healthcare,Executive,175000.0,20000.0,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Tech,Legal,55000.0,250.0,United States,5-7 years,2 - 4 years,College degree,Woman,White
25-34,Finance,Finance & Accounting,43750.0,1250.0,United Kingdom,8 - 10 years,8 - 10 years,College degree,Man,White
35-44,Engineering & Manufacturing,Finance & Accounting,72500.0,14500.0,United Kingdom,11 - 20 years,11 - 20 years,College degree,Man,White
25-34,Marketing,Management,68750.0,,United Kingdom,5-7 years,5-7 years,Master's degree,Woman,White
18-24,Retail,Sales,31200.0,,United States,5-7 years,2 - 4 years,College degree,Non-binary,"Black or African American, Hispanic, Latino, or Spanish origin"
35-44,Tech,Management,180000.0,178000.0,United States,11 - 20 years,11 - 20 years,College degree,Man,White
35-44,Marketing,Executive,91250.0,8750.0,United Kingdom,21 - 30 years,11 - 20 years,Master's degree,Woman,White
18-24,Tech,Engineering & IT,49400.0,,United States,2 - 4 years,2 - 4 years,College degree,Woman,White
35-44,Tech,Education & Training,37500.0,0.0,United Kingdom,11 - 20 years,11 - 20 years,PhD,Man,White
35-44,Engineering & Manufacturing,Management,46980.0,5400.0,Ireland,21 - 30 years,11 - 20 years,Some college,Woman,White
35-44,Other,Other,51875.0,6250.0,United Kingdom,11 - 20 years,11 - 20 years,College degree,Man,White
35-44,Retail,Management,60000.0,0.0,United Kingdom,21 - 30 years,5-7 years,Some college,,White
35-44,Tech,Management,116000.0,0.0,United States,11 - 20 years,11 - 20 years,Master's degree,Man,White
45-54,Tech,Executive,62500.0,0.0,United Kingdom,21 - 30 years,21 - 30 years,College degree,Man,White
45-54,Tech,Marketing & Communications,140000.0,,United States,21 - 30 years,5-7 years,College degree,Man,White
25-34,Retail,Other,21000.0,0.0,United States,8 - 10 years,5-7 years,Some college,Woman,White
25-34,Education,Administrative,40000.0,,United States,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American
25-34,Legal,Legal,37740.0,296.0,Canada,11 - 20 years,2 - 4 years,College degree,Woman,White
35-44,Tech,Management,128000.0,,United States,11 - 20 years,11 - 20 years,Master's degree,Man,White
25-34,Finance,Consulting,93000.0,,United States,5-7 years,5-7 years,College degree,Man,White
25-34,Legal,Engineering & IT,58750.0,0.0,United Kingdom,5-7 years,5-7 years,College degree,Man,White
25-34,Tech,Management,56160.0,0.0,United States,5-7 years,5-7 years,College degree,Man,White
35-44,Marketing,Management,103000.0,,United States,11 - 20 years,8 - 10 years,Master's degree,Man,White
45-54,Tech,Engineering & IT,96000.0,16000.0,United States,31 - 40 years,21 - 30 years,College degree,Man,White
25-34,Tech,Management,54000.0,0.0,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Government,Management,62900.0,,Canada,11 - 20 years,8 - 10 years,Master's degree,Woman,White
35-44,Other,Project & Program Management,62000.0,0.0,United States,11 - 20 years,11 - 20 years,College degree,Man,White
35-44,Finance,Management,37493.75,2062.5,United Kingdom,11 - 20 years,11 - 20 years,High School,Man,White
35-44,Healthcare,Engineering & IT,110000.0,11000.0,United States,5-7 years,2 - 4 years,High School,Man,White
18-24,Engineering & Manufacturing,Engineering & IT,78000.0,300.0,United States,1 year or less,1 year or less,College degree,Man,White
25-34,Education,Executive,38000.0,,United States,5-7 years,2 - 4 years,Master's degree,Non-binary,Asian or Asian American
35-44,Engineering & Manufacturing,Marketing & Communications,75000.0,0.0,United States,11 - 20 years,8 - 10 years,College degree,Woman,White
35-44,Tech,Engineering & IT,84000.0,0.0,United States,21 - 30 years,11 - 20 years,College degree,Woman,White
25-34,Media & Entertainment,Creative Arts,30401.25,,United Kingdom,5-7 years,5-7 years,College degree,Woman,White
25-34,Tech,Management,60680.0,5920.0,Canada,5-7 years,2 - 4 years,College degree,Woman,White
25-34,Tech,Engineering & IT,93980.0,,Canada,8 - 10 years,5-7 years,Some college,Woman,White
25-34,Healthcare,Strategist,44000.0,700.0,United States,11 - 20 years,8 - 10 years,College degree,Non-binary,White
25-34,Marketing,Management,112000.0,35000.0,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Finance,Strategist,150000.0,,United Kingdom,11 - 20 years,11 - 20 years,College degree,Man,White
18-24,Tech,Engineering & IT,100000.0,10000.0,United States,2 - 4 years,2 - 4 years,College degree,Woman,White
35-44,Logistics,Management,63344.0,0.0,Canada,11 - 20 years,5-7 years,Master's degree,Woman,White
45-54,Engineering & Manufacturing,Sales,30000.0,625.0,United Kingdom,21 - 30 years,2 - 4 years,Some college,Woman,White
35-44,Tech,Engineering & IT,110000.0,11000.0,United States,11 - 20 years,5-7 years,College degree,Man,White
35-44,Engineering & Manufacturing,Marketing & Communications,70000.0,0.0,United States,11 - 20 years,5-7 years,College degree,Man,Asian or Asian American
35-44,Retail,Marketing & Communications,32656.0,0.0,United States,11 - 20 years,11 - 20 years,College degree,Man,White
55-64,Tech,Management,42000.0,300.0,United States,41 years or more,21 - 30 years,Some college,Woman,Another option not listed here or prefer not to answer
45-54,Media & Entertainment,Engineering & IT,86400.0,0.0,France,21 - 30 years,5-7 years,Some college,Man,White
35-44,Tech,Education & Training,63400.0,,United States,11 - 20 years,2 - 4 years,Master's degree,Man,White
35-44,Media & Entertainment,Engineering & IT,62500.0,12000.0,United States,8 - 10 years,5-7 years,Master's degree,Woman,White
35-44,Government,Project & Program Management,90000.0,0.0,United States,11 - 20 years,8 - 10 years,Master's degree,Man,White
35-44,Tech,Executive,153750.0,,United Kingdom,21 - 30 years,21 - 30 years,College degree,Man,White
45-54,Tech,Executive,105000.0,,United States,11 - 20 years,11 - 20 years,PhD,Woman,Asian or Asian American
35-44,Engineering & Manufacturing,Engineering & IT,121000.0,0.0,United States,11 - 20 years,8 - 10 years,College degree,Man,White
18-24,Marketing,Marketing & Communications,70000.0,0.0,United States,2 - 4 years,2 - 4 years,College degree,Woman,White
45-54,Construction & Real Estate,Management,26250.0,5000.0,United Kingdom,31 - 40 years,11 - 20 years,High School,Woman,White
35-44,Tech,Engineering & IT,78500.0,2000.0,United States,21 - 30 years,21 - 30 years,Master's degree,Man,White
35-44,Tech,Management,116208.0,0.0,United States,8 - 10 years,5-7 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
25-34,Consulting,Marketing & Communications,108000.0,,Germany,8 - 10 years,8 - 10 years,College degree,Man,White
35-44,Education,Other,65500.0,0.0,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
18-24,Marketing,Executive,50000.0,,United States,2 - 4 years,2 - 4 years,College degree,Woman,White
45-54,Construction & Real Estate,Management,65625.0,,United Kingdom,21 - 30 years,21 - 30 years,College degree,Man,White
25-34,Tech,Executive,118800.00000000001,10800.0,Germany,11 - 20 years,11 - 20 years,Some college,Man,White
45-54,Tech,Management,77500.0,,United Kingdom,21 - 30 years,11 - 20 years,Some college,Man,White
25-34,Marketing,Executive,85000.0,5000.0,United States,5-7 years,5-7 years,College degree,Man,White
25-34,Finance,Marketing & Communications,59955.0,5000.0,United States,5-7 years,5-7 years,College degree,Woman,White
35-44,Healthcare,Management,72500.0,5000.0,United Kingdom,11 - 20 years,11 - 20 years,PhD,Woman,Another option not listed here or prefer not to answer
35-44,Marketing,Management,78000.0,,United States,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Tech,Marketing & Communications,57000.0,0.0,United States,5-7 years,5-7 years,College degree,Man,White
35-44,Tech,Management,44000.0,500.0,United States,11 - 20 years,5-7 years,Some college,Woman,White
25-34,Tech,Management,192400.0,150000.0,United States,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Marketing,Sales,42000.0,15000.0,United States,5-7 years,2 - 4 years,High School,Man,White
45-54,Education,Marketing & Communications,48750.0,0.0,United Kingdom,31 - 40 years,11 - 20 years,Master's degree,Man,White
35-44,Finance,Other,200000.0,250000.0,United States,21 - 30 years,21 - 30 years,Master's degree,Man,White
35-44,Finance,Creative Arts,85000.0,,United States,11 - 20 years,8 - 10 years,College degree,Man,White
35-44,Tech,Administrative,32500.0,,United Kingdom,21 - 30 years,2 - 4 years,High School,Man,Another option not listed here or prefer not to answer
45-54,Government,Engineering & IT,67500.0,0.0,United Kingdom,21 - 30 years,21 - 30 years,Some college,Man,White
35-44,Tech,Engineering & IT,47312.5,625.0,United Kingdom,11 - 20 years,11 - 20 years,College degree,Man,White
25-34,Construction & Real Estate,Other,37500.0,,United Kingdom,11 - 20 years,11 - 20 years,Some college,Man,White
35-44,Government,Management,52500.0,0.0,United Kingdom,11 - 20 years,11 - 20 years,College degree,Man,White
25-34,Tech,Engineering & IT,37584.0,0.0,Spain,11 - 20 years,5-7 years,College degree,Man,"Hispanic, Latino, or Spanish origin"
55-64,Finance,Engineering & IT,135000.0,10000.0,United Kingdom,31 - 40 years,31 - 40 years,Master's degree,Man,White
25-34,Tech,Strategist,65000.0,0.0,United States,5-7 years,1 year or less,College degree,Man,White
35-44,Tech,Management,180000.0,0.0,United States,31 - 40 years,21 - 30 years,College degree,Man,White
25-34,Education,Data & Analytics,49993.75,375.0,United Kingdom,8 - 10 years,5-7 years,PhD,Man,White
25-34,Tech,Engineering & IT,124750.0,0.0,United States,8 - 10 years,8 - 10 years,College degree,Man,White
35-44,Tech,Engineering & IT,101520.0,0.0,France,21 - 30 years,21 - 30 years,,Man,White
25-34,Agriculture,Management,83000.0,5000.0,United States,8 - 10 years,5-7 years,College degree,Other or prefer not to answer,Another option not listed here or prefer not to answer
25-34,Tech,Management,62000.0,0.0,United States,5-7 years,2 - 4 years,Master's degree,Woman,White
25-34,Tech,Data & Analytics,73375.0,8750.0,United Kingdom,5-7 years,2 - 4 years,PhD,Man,White
25-34,Construction & Real Estate,Executive,71000.0,0.0,United States,11 - 20 years,8 - 10 years,College degree,Woman,Black or African American
45-54,Legal,Executive,68000.0,7500.0,United States,21 - 30 years,11 - 20 years,College degree,Woman,White
35-44,Tech,Management,110000.0,16500.0,United States,11 - 20 years,8 - 10 years,College degree,Man,Asian or Asian American
18-24,Art & Design,Creative Arts,40000.0,1200.0,United States,2 - 4 years,2 - 4 years,College degree,Non-binary,White
25-34,Tech,Management,160000.0,20000.0,United States,2 - 4 years,2 - 4 years,College degree,Woman,Middle Eastern or Northern African
25-34,Tech,Management,76000.0,,United States,5-7 years,2 - 4 years,College degree,Woman,White
25-34,Tech,Management,95000.0,30000.0,United States,5-7 years,2 - 4 years,College degree,Man,White
45-54,Government,Management,102000.0,0.0,United States,21 - 30 years,11 - 20 years,Master's degree,Woman,White
35-44,Tech,Engineering & IT,250000.0,,United States,8 - 10 years,5-7 years,Master's degree,Man,Black or African American
